Band Name,TP SPW,7m SPW,12m SPW,Center,Bandwidth,F_Lower,F_Upper,F_Resolution,col9,Line,Rest (GHz),V_Lower,V_Upper,V_Res.,_1,References
H13CO+/SiO,19,18,27,86.9,0.46875,86.665625,87.134375,0.000488,,"CH3OH vt = 0-2 7(2,5)-6(3,4) A",86.902916,,,1.69,,
H13CO+/SiO,19,18,27,86.9,0.46875,86.665625,87.134375,0.000488,,"CH3CH2CN v = 0 10(1,10)-9(1,9)",86.819843,,,1.69,,
